GSM813064	GSM813065	GSM813066	GSM813067	GSM814496	GSM814497
1.0246	1.1853	1.0405	0.6051	0.2214	1.1343
69.3001	62.1455	59.5972	50.9925	62.097	55.2177
0.3716	0.6244	1.0575	0.7659	0.6872	0.5908
0.2822	0.2681	0.2703	0.362	0.1755	0.2477
0.6608	0.1859	0.508	0.1325	0.4086	0.5661
5.2805	6.7908	7.5617	6.154	6.3412	5.9318
2.6454	2.0322	2.5123	2.3464	2.7898	2.3998
1.9223	2.3603	2.2463	1.9667	2.1571	2.2333
64.1975	73.5684	86.8258	99.1473	81.838	94.288
6.3282	5.2281	5.8693	4.4221	4.873	4.2025
548.8412	462.9967	464.2899	414.4404	465.5	409.1001
838.8315	743.5244	717.4331	649.2884	654.418	611.4754
0.5358	0.7727	0.6172	0.8274	1.0361	0.4453
3.4734	3.986	2.9708	2.7826	3.6606	3.9197
179.5341	242.3319	172.5637	204.9959	201.339	188.0188
265.0529	274.2984	229.5231	248.7103	290.3964	269.286
641.0303	538.1335	618.3169	621.5113	675.0879	581.5844
545.5212	585.5411	652.7356	562.6851	590.2189	507.3252
2.5035	2.1015	2.7092	2.8787	2.6711	2.8697
528.0303	513.5457	475.215	411.0715	506.4477	392.3886
141.5354	156.0088	148.525	130.7517	159.9671	133.818
4.6097	5.7846	4.7633	3.7962	4.5521	3.7704
0.2915	0.3258	0.2947	0.2715	0.4383	0.31
99.4965	116.2066	113.7778	101.0209	117.0803	110.6122
0.5178	0.4265	1.0084	0.7364	0.2589	0.492
0.199	0.2434	0.3155	0.2041	0.309	0.2244
0.4024	0.7651	0.6414	0.6379	0.1806	0.1721
0.7772	0.8063	0.3611	0.1882	0.3418	0.3474
53.3527	52.6278	62.085	52.9816	46.2288	43.8243
1.9073	1.9164	2.3318	2.1036	2.2453	1.9195
0.4749	0.447	0.1696	0.1938	0.2825	0.2544
249.0088	244.0537	287.0282	265.0468	229.3729	232.3586
0.1464	0.7299	0.1511	0.3041	0.3178	0.4162
0.2573	0.2967	0.3108	0.1543	0.3823	0.357
0.3569	0.0048	0.2231	0.0319	0.4457	0.4218
11.648	11.6897	13.9108	12.6095	12.1685	14.1546
17.5871	15.9538	14.1954	10.8128	14.6154	14.2768
0.9948	1.2376	0.3497	0.3889	0.1211	0.1481
0.327	0.5833	0.6897	0.6448	0.2858	0.6124
1.2653	1.2869	1.2621	1.326	1.2382	0.7337
0.5866	1.2267	1.2558	1.8347	0.8773	1.1343
2.3465	1.8386	2.1646	1.9428	2.4739	0.6321
0.2547	0.1714	0.21	0.4481	0.157	0.054
7.6846	9.4441	6.4635	5.373	7.6031	5.2484
28.4005	31.5283	28.7064	24.4662	24.3901	22.1284
0.7244	0.7925	0.9195	0.699	0.958	0.3357
1.2828	1.4376	1.1689	0.8857	2.0186	0.7984
2.4505	3.1374	2.9292	2.2519	2.6842	2.2338
2.1336	1.8304	2.2657	2.0769	2.1341	1.3194
1.5317	1.7687	1.5577	1.0745	1.1711	1.082
2.6875	2.5701	2.2013	2.1449	2.2926	2.2469
0.5444	0.8109	1.1159	0.9236	0.7798	1.0605
0.0731	0.7005	0.6384	0.3251	0.5054	0.685
0.4184	0.5913	1.4195	0.788	0.8188	0.4234
-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0
0.6563	0.6844	0.9586	0.512	0.5086	0.2429
0.3709	0.126	0.2608	0.3525	0.2693	0.1054
2.6969	3.7738	2.6192	2.0521	2.8828	2.5165
0.6513	0.2422	0.6059	0.7472	0.5163	0.401
89.1527	77.9096	88.8321	73.0715	70.54	64.6753
9.4975	10.5141	7.9955	7.7332	8.3469	7.8173
0.1872	0.357	0.5999	0.1347	0.1951	0.2764
0.2655	0.1512	0.5279	0.0388	0.3713	0.4264
0.2172	0.4203	0.1347	0.2892	0.4411	0.328
15.5748	15.1961	14.6452	14.2683	17.6732	12.6851
0.2336	0.1672	0.4932	0.7122	0.0704	-0.014
1.5949	1.8635	1.4821	1.1831	1.8606	1.3052
0.4865	0.1269	0.4333	0.1763	0.3528	0.3758
3.0229	2.4639	2.779	2.6754	2.2609	2.3809
2.3467	2.7315	2.4587	2.3212	2.7807	2.084
175.3907	184.5116	167.6161	160.7979	175.7286	149.8748
4.1402	4.0257	4.7479	4.1377	5.5551	3.6522
0.3988	0.1885	0.2341	0.1321	0.1256	0.1801
0.3527	0.0905	0.3405	0.1923	0.4896	0.1057
0.6335	0.5918	0.7448	0.7619	0.8785	0.6133
0.9198	1.3621	0.7654	1.3396	1.9178	1.3744
0.3406	0.2912	0.4169	0.4434	0.568	0.3301
0.1566	0.2762	0.3759	0.4249	0.3993	0.5972
-0.0657	0.2564	0.359	0.4383	0.4054	0.3267
0.0193	0.2548	0.2979	0.2168	0.3959	-0.1228
1.7035	1.8919	1.7766	1.5283	1.5102	1.383
5.9337	6.6131	6.7968	4.6383	5.6056	4.2657
-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0
48.2722	49.3855	38.9335	40.7753	45.0959	39.8754
1.7154	1.5421	1.3748	0.7976	0.9282	1.3526
66.4	67.9961	59.9157	56.8897	64.2404	58.3249
0.4483	0.3187	0.39	0.3189	0.3629	0.115
3.3084	68.9688	4.6279	86.4354	36.9756	66.085
3.1149	3.1383	4.1218	3.5201	3.2997	2.8461
0.1966	-0.1207	0.3467	-0.0447	0.0863	0.5489
20.814	18.3665	16.9112	15.205	15.8769	16.122
0.9879	1.2175	1.006	0.6459	1.3553	1.153
11.8914	12.5796	11.0765	10.1377	11.5985	10.3481
15.6202	16.2527	18.4488	14.3735	15.8959	12.6184
2.3353	2.6652	2.6537	2.1282	2.2199	1.8396
2.0801	1.5794	2.6626	2.9245	2.643	3.4265
0.4576	0.2447	0.1665	0.2795	0.2325	0.3829
13.5474	15.219	12.6621	11.1439	13.5833	9.7286
0.7516	0.7396	0.8092	0.4551	0.3079	1.1016
0.6104	0.8896	0.813	1.3015	0.955	0.7716
45.3141	43.0571	44.2754	37.3296	55.4955	42.8338
